MainGenre,Year,Original,Series or Movie,IMDb Score,BoxOfficeProfits,color,Title,Genre
ACTION,2012.0,0.0,Movie,6.5,66528000.0,#001bff,Contraband,"Action, Crime, Drama, Thriller"
ACTION,2012.0,0.0,Movie,6.7,126373434.0,#001bff,Safe House,"Action, Thriller"
ACTION,2012.0,0.0,Movie,8.2,0.0,#ff3351,Gangs of Wasseypur: Part 2,"Action, Comedy, Crime, Drama, Thriller"
ACTION,2012.0,0.0,Movie,8.2,0.0,#ff3351,Gangs of Wasseypur: Part 1,"Action, Comedy, Crime, Drama, Thriller"
ACTION,2012.0,0.0,Movie,5.0,0.0,#ff3351,So Undercover,"Action, Comedy, Crime"
ACTION,2012.0,0.0,Movie,7.8,0.0,#ff3351,BERSERK: The Golden Age Arc II - The Battle for Doldrey,"Animation, Action, Adventure, Fantasy"
ACTION,2012.0,0.0,Movie,6.0,0.0,#ff3351,R2B: Return to Base,"Action, Drama, Romance"
ACTION,2012.0,0.0,Movie,7.1,0.0,#ff3351,Kamen Rider × Super Sentai Super Hero Taisen,"Action, Sci-Fi"
ACTION,2012.0,0.0,Movie,6.6,3358.0,#001bff,Sleepless Night,"Action, Crime, Thriller"
ACTION,2012.0,0.0,Movie,7.2,0.0,#ff3351,Naruto Shippuden the Movie: The Will of Fire,"Animation, Action, Fantasy"
ACTION,2012.0,0.0,Movie,6.6,0.0,#ff3351,A.C.A.B.: All Cops Are Bastards,"Action, Crime, Drama"
ACTION,2012.0,0.0,Movie,6.3,139854287.0,#001bff,Taken 2,"Action, Thriller"
ACTION,2012.0,0.0,Movie,5.7,83670083.0,#001bff,Wrath of the Titans,"Action, Adventure, Fantasy"
ACTION,2012.0,0.0,Movie,6.1,0.0,#ff3351,The Expatriate,"Action, Thriller"
ACTION,2012.0,0.0,Movie,8.4,448139099.0,#001bff,The Dark Knight Rises,"Action, Adventure"
ACTION,2012.0,0.0,Movie,5.8,103860290.0,#001bff,Journey 2: The Mysterious Island,"Action, Adventure, Family, Fantasy, Sci-Fi"
ACTION,2012.0,0.0,Movie,6.5,17142080.0,#001bff,Safe,"Action, Crime, Thriller"
ACTION,2012.0,0.0,Movie,6.3,58877969.0,#001bff,Total Recall,"Action, Adventure, Sci-Fi, Thriller"
ACTION,2012.0,0.0,Movie,6.3,54760791.0,#001bff,This Means War,"Action, Comedy, Romance"
ACTION,2012.0,0.0,Movie,6.1,14326864.0,#001bff,Lockout,"Action, Sci-Fi, Thriller"
ACTION,2012.0,0.0,Movie,6.1,0.0,#ff3351,Solomon Kane,"Action, Adventure, Fantasy, Horror"
ACTION,2012.0,0.0,Movie,5.4,15634090.0,#001bff,The Man with the Iron Fists,Action
ACTION,2012.0,0.0,Movie,6.4,62321039.0,#001bff,Underworld: Awakening,"Action, Fantasy, Horror"
ACTION,2012.0,0.0,Movie,6.9,262030663.0,#001bff,The Amazing Spider-Man,"Action, Adventure, Sci-Fi"
ACTION,2012.0,0.0,Movie,6.8,179020854.0,#001bff,Men in Black 3,"Action, Adventure, Comedy, Sci-Fi"
ACTION,2012.0,0.0,Movie,5.7,777373.0,#001bff,Rowdy Rathore,"Action, Comedy"
ACTION,2012.0,0.0,Movie,4.9,101000.0,#001bff,Mugamoodi,"Action, Adventure"
