Year,Films,IMDb_Score,Genre
2018,4,5.95,CRIME
2018,22,6.854545454545455,DOCUMENTARY
2018,44,6.215909090909091,DRAMA
2018,4,6.275,FAMILY
2018,7,6.114285714285714,FANTASY
2018,0,0.0,FILM-NOIR
2018,0,0.0,GAME-SHOW
2018,4,6.550000000000001,HISTORY
2018,6,6.166666666666667,HORROR
2018,5,5.74,MUSIC
2018,2,6.4,MUSICAL
2018,7,6.1000000000000005,MYSTERY
2018,1,6.4,NEWS
2018,0,0.0,REALITY-TV
2018,14,6.235714285714286,ROMANCE
2018,6,5.766666666666667,SCI-FI
2018,6,6.666666666666667,SHORT
2018,4,6.675000000000001,SPORT
2018,0,0.0,TALK-SHOW
2018,16,6.14375,THRILLER
2018,3,7.133333333333333,WAR
2018,1,7.3,WESTERN
2019,11,6.281818181818181,ACTION
2019,0,0.0,ADULT
2019,8,6.0125,ADVENTURE
2019,2,7.85,ANIMATION
2019,13,7.06923076923077,BIOGRAPHY
2019,35,6.085714285714285,COMEDY
2019,17,6.347058823529412,CRIME
2019,33,6.709090909090909,DOCUMENTARY
2019,47,6.276595744680851,DRAMA
2019,6,6.316666666666666,FAMILY
2019,3,5.766666666666667,FANTASY
2019,0,0.0,FILM-NOIR
2019,0,0.0,GAME-SHOW
2019,7,7.085714285714286,HISTORY
2019,8,6.025,HORROR
2019,9,6.644444444444444,MUSIC
2019,1,6.4,MUSICAL
2019,9,6.022222222222222,MYSTERY
2019,0,0.0,NEWS
2019,0,0.0,REALITY-TV
2019,16,6.0875,ROMANCE
2019,5,5.04,SCI-FI
2019,13,6.376923076923077,SHORT
2019,3,6.633333333333333,SPORT
2019,0,0.0,TALK-SHOW
2019,23,5.834782608695652,THRILLER
2019,1,7.2,WAR
2019,1,5.2,WESTERN
2020,18,5.633333333333334,ACTION
2020,0,0.0,ADULT
2020,9,6.266666666666667,ADVENTURE
2020,3,6.8,ANIMATION
2020,8,6.5875,BIOGRAPHY
2020,32,5.86875,COMEDY
2020,20,6.125,CRIME
2020,26,7.092307692307693,DOCUMENTARY
2020,58,6.153448275862068,DRAMA
2020,7,5.985714285714286,FAMILY
2020,8,5.9625,FANTASY
2020,0,0.0,FILM-NOIR
2020,0,0.0,GAME-SHOW
2020,2,6.949999999999999,HISTORY
2020,8,5.0,HORROR
2020,7,6.785714285714286,MUSIC
2020,1,6.5,MUSICAL
2020,12,5.633333333333333,MYSTERY
2020,0,0.0,NEWS
2020,0,0.0,REALITY-TV
2020,19,5.7,ROMANCE
2020,5,5.56,SCI-FI
2020,6,6.8500000000000005,SHORT
2020,6,6.7,SPORT
2020,0,0.0,TALK-SHOW
2020,35,5.6971428571428575,THRILLER
2020,3,6.3999999999999995,WAR
2020,0,0.0,WESTERN
2021,0,0.0,ACTION
2021,0,0.0,ADULT
2021,0,0.0,ADVENTURE
2021,0,0.0,ANIMATION
2021,0,0.0,BIOGRAPHY
2021,0,0.0,COMEDY
2021,1,7.2,CRIME
2021,0,0.0,DOCUMENTARY
2021,2,7.15,DRAMA
2021,0,0.0,FAMILY
2021,0,0.0,FANTASY
2021,0,0.0,FILM-NOIR
2021,0,0.0,GAME-SHOW
2021,0,0.0,HISTORY
2021,0,0.0,HORROR
2021,0,0.0,MUSIC
2021,0,0.0,MUSICAL
2021,0,0.0,MYSTERY
2021,0,0.0,NEWS
2021,0,0.0,REALITY-TV
2021,0,0.0,ROMANCE
2021,0,0.0,SCI-FI
2021,0,0.0,SHORT
2021,0,0.0,SPORT
2021,0,0.0,TALK-SHOW
2021,0,0.0,THRILLER
2021,0,0.0,WAR
2021,0,0.0,WESTERN
