Year,Original,Series or Movie,Writer,Title,First_Writer,Films,Writers,Rating,Genre
2010.0,0.0,Series,"Marv Wolfman, Nick Cardy, Carmine Infantino, Karl Kesel, Mark Waid, Tony S. Daniel, Tom Grummett, Paul Norris, Geoff Johns, George Papp, Jerry Ordway, Bob Kane, Bob Haney, Keith Giffen, Gardner Fox, George Pérez, Mort Weisinger, John Broome, Greg Weisman, Mike Wieringo, Brandon Vietti, Irv Novick",Young Justice,Marv Wolfman,1,1,8.6,ADVENTURE
2018.0,0.0,Movie,Abhijeet Shirish Deshpande,Ani... Dr. Kashinath Ghanekar,Abhijeet Shirish Deshpande,1,1,8.6,DRAMA
2019.0,0.0,Movie,Frederico Machado,Boi,Frederico Machado,1,1,8.6,DRAMA
2017.0,1.0,Series,Vanessa Roth,Daughters of Destiny,Vanessa Roth,1,1,8.6,DOCUMENTARY
2010.0,0.0,Series,Pendleton Ward,Adventure Time,Pendleton Ward,1,1,8.6,ADVENTURE
2015.0,0.0,Series,Drew Goddard,Marvels Daredevil,Drew Goddard,1,1,8.6,DRAMA
2010.0,0.0,Series,Pendleton Ward,Adventure Time,Pendleton Ward,1,1,8.6,SCI-FI
2018.0,1.0,Series,"Kurt Mueller, Luke Pearson, Stephanie Simpson",Hilda,Kurt Mueller,1,1,8.6,ANIMATION
2017.0,0.0,Series,"Kathleen Westlake, Hideki Sonoda",Beyblade Burst Evolution,Kathleen Westlake,1,1,8.6,ANIMATION
2019.0,0.0,Movie,"Bong Joon Ho, Jin-won Han",Parasite,Bong Joon Ho,1,1,8.6,COMEDY
2010.0,0.0,Series,Pendleton Ward,Adventure Time,Pendleton Ward,1,1,8.6,SHORT
2017.0,1.0,Series,Joe Penhall,MINDHUNTER,Joe Penhall,1,1,8.6,CRIME
2014.0,0.0,Movie,"Jonathan Nolan, Christopher Nolan",Interstellar,Jonathan Nolan,1,1,8.6,DRAMA
2018.0,0.0,Series,Mike Flanagan,The Haunting of Hill House,Mike Flanagan,1,1,8.6,MYSTERY
2010.0,0.0,Series,Pendleton Ward,Adventure Time,Pendleton Ward,1,1,8.6,FAMILY
2013.0,0.0,Series,"Lara Radulovich, Reg Watson",Wentworth,Lara Radulovich,1,1,8.6,DRAMA
2018.0,1.0,Series,"Kurt Mueller, Luke Pearson, Stephanie Simpson",Hilda,Kurt Mueller,1,1,8.6,ADVENTURE
2013.0,0.0,Series,"Lara Radulovich, Reg Watson",Wentworth,Lara Radulovich,1,1,8.6,CRIME
2016.0,0.0,Series,Donald Glover,Atlanta,Donald Glover,1,1,8.6,MUSIC
2018.0,1.0,Series,"Kurt Mueller, Luke Pearson, Stephanie Simpson",Hilda,Kurt Mueller,1,1,8.6,FAMILY
2015.0,0.0,Series,Drew Goddard,Marvels Daredevil,Drew Goddard,1,1,8.6,CRIME
2019.0,0.0,Movie,"Bong Joon Ho, Jin-won Han",Parasite,Bong Joon Ho,1,1,8.6,DRAMA
2017.0,0.0,Series,"Kathleen Westlake, Hideki Sonoda",Beyblade Burst Evolution,Kathleen Westlake,1,1,8.6,COMEDY
2010.0,0.0,Series,Pendleton Ward,Adventure Time,Pendleton Ward,1,1,8.6,COMEDY
2016.0,0.0,Series,Donald Glover,Atlanta,Donald Glover,1,1,8.6,COMEDY
2018.0,0.0,Series,Mike Flanagan,The Haunting of Hill House,Mike Flanagan,1,1,8.6,THRILLER
2017.0,1.0,Series,Joe Penhall,MINDHUNTER,Joe Penhall,1,1,8.6,DRAMA
2017.0,1.0,Series,Joe Penhall,MINDHUNTER,Joe Penhall,1,1,8.6,THRILLER
2017.0,0.0,Series,"Kathleen Westlake, Hideki Sonoda",Beyblade Burst Evolution,Kathleen Westlake,1,1,8.6,SCI-FI
2011.0,0.0,Series,"Paul Abbott, John Wells",Shameless (U.S.),Paul Abbott,1,1,8.6,DRAMA
2015.0,0.0,Series,Héctor Lozano,Merlí,Héctor Lozano,1,1,8.6,COMEDY
2019.0,0.0,Movie,"Bong Joon Ho, Jin-won Han",Parasite,Bong Joon Ho,1,1,8.6,THRILLER
2018.0,0.0,Series,Mike Flanagan,The Haunting of Hill House,Mike Flanagan,1,1,8.6,HORROR
2010.0,0.0,Series,"Marv Wolfman, Nick Cardy, Carmine Infantino, Karl Kesel, Mark Waid, Tony S. Daniel, Tom Grummett, Paul Norris, Geoff Johns, George Papp, Jerry Ordway, Bob Kane, Bob Haney, Keith Giffen, Gardner Fox, George Pérez, Mort Weisinger, John Broome, Greg Weisman, Mike Wieringo, Brandon Vietti, Irv Novick",Young Justice,Marv Wolfman,1,1,8.6,CRIME
2019.0,1.0,Series,"Will Matthews, Jeffrey Addiss",The Dark Crystal: Age of Resistance,Will Matthews,1,1,8.5,ADVENTURE
2013.0,0.0,Series,"Akiyuki Shinbo, Fuyashi Tou",Monogatari Series 2nd Season,Akiyuki Shinbo,1,1,8.5,ANIMATION
2019.0,1.0,Series,Richie Mehta,Delhi Crime,Richie Mehta,1,1,8.5,CRIME
2010.0,0.0,Series,Neil Cross,Luther,Neil Cross,1,1,8.5,CRIME
2010.0,0.0,Series,Steven S. DeKnight,Spartacus,Steven S. DeKnight,1,1,8.5,ROMANCE
2016.0,0.0,Movie,"Chandrakumar, Vetrimaaran",Interrogation,Chandrakumar,1,1,8.5,THRILLER
2016.0,0.0,Series,Guillermo del Toro,Trollhunters,Guillermo del Toro,1,1,8.5,DRAMA
2017.0,0.0,Series,"David Lynch, Mark Frost",Twin Peaks,David Lynch,1,1,8.5,FANTASY
2010.0,0.0,Series,Steven S. DeKnight,Spartacus,Steven S. DeKnight,1,1,8.5,DRAMA
2016.0,0.0,Series,Guillermo del Toro,Trollhunters,Guillermo del Toro,1,1,8.5,ACTION
2011.0,0.0,Series,"Richard Roxburgh, Charles Waterstreet, Peter Duncan",Rake,Richard Roxburgh,1,1,8.5,COMEDY
2019.0,0.0,Series,Tim Miller,"Love, Death and Robots",Tim Miller,1,1,8.5,SCI-FI
2010.0,0.0,Series,Steven S. DeKnight,Spartacus,Steven S. DeKnight,1,1,8.5,ADVENTURE
2013.0,0.0,Series,Michael Hirst,Vikings,Michael Hirst,1,1,8.5,DRAMA
2019.0,0.0,Series,Tim Miller,"Love, Death and Robots",Tim Miller,1,1,8.5,SHORT
2016.0,0.0,Series,Guillermo del Toro,Trollhunters,Guillermo del Toro,1,1,8.5,COMEDY
2019.0,0.0,Movie,Parthiban,Oththa Seruppu Size 7,Parthiban,1,1,8.5,DRAMA
2018.0,1.0,Series,Christian Einshøj,Haunted,Christian Einshøj,1,1,8.5,COMEDY
2013.0,0.0,Series,"Akiyuki Shinbo, Fuyashi Tou",Monogatari Series 2nd Season,Akiyuki Shinbo,1,1,8.5,FANTASY
2016.0,0.0,Series,Guillermo del Toro,Trollhunters,Guillermo del Toro,1,1,8.5,FANTASY
2010.0,0.0,Series,Neil Cross,Luther,Neil Cross,1,1,8.5,MYSTERY
2013.0,0.0,Series,"Akiyuki Shinbo, Fuyashi Tou",Monogatari Series 2nd Season,Akiyuki Shinbo,1,1,8.5,ROMANCE
2018.0,1.0,Series,Christian Einshøj,Haunted,Christian Einshøj,1,1,8.5,MYSTERY
2019.0,0.0,Series,Tim Miller,"Love, Death and Robots",Tim Miller,1,1,8.5,FANTASY
2013.0,0.0,Movie,Bo Burnham,Bo Burnham: what.,Bo Burnham,1,1,8.5,MUSIC
2011.0,0.0,Movie,Manish Pandey,Senna,Manish Pandey,1,1,8.5,SPORT
2010.0,0.0,Series,Steven S. DeKnight,Spartacus,Steven S. DeKnight,1,1,8.5,BIOGRAPHY
2010.0,0.0,Series,Steven S. DeKnight,Spartacus,Steven S. DeKnight,1,1,8.5,HISTORY
2013.0,0.0,Series,Michael Hirst,Vikings,Michael Hirst,1,1,8.5,HISTORY
2013.0,0.0,Series,Bryan Fuller,Hannibal,Bryan Fuller,1,1,8.5,DRAMA
2010.0,0.0,Series,Neil Cross,Luther,Neil Cross,1,1,8.5,DRAMA
2019.0,1.0,Series,"Will Matthews, Jeffrey Addiss",The Dark Crystal: Age of Resistance,Will Matthews,1,1,8.5,FANTASY
2018.0,0.0,Movie,Bruce Springsteen,Springsteen on Broadway,Bruce Springsteen,1,1,8.5,MUSIC
2014.0,0.0,Movie,"Peter Browne, Nick Bain",Wild Card,Peter Browne,1,1,8.5,ROMANCE
2017.0,0.0,Series,Steve Lightfoot,Marvels The Punisher,Steve Lightfoot,1,1,8.5,DRAMA
2013.0,0.0,Series,Michael Hirst,Vikings,Michael Hirst,1,1,8.5,ROMANCE
2017.0,0.0,Series,Steve Lightfoot,Marvels The Punisher,Steve Lightfoot,1,1,8.5,THRILLER
2015.0,0.0,Series,"Dan Levy, Eugene Levy",Schitts Creek,Dan Levy,1,1,8.5,COMEDY
2011.0,0.0,Series,Adam Price,Borgen,Adam Price,1,1,8.5,DRAMA
2017.0,0.0,Series,"David Lynch, Mark Frost",Twin Peaks,David Lynch,1,1,8.5,MYSTERY
2011.0,0.0,Movie,"Olivier Nakache, Éric Toledano, Philippe Pozzo di Borgo",The Intouchables,Olivier Nakache,1,1,8.5,BIOGRAPHY
2011.0,0.0,Series,Aaron Korsh,Suits,Aaron Korsh,1,1,8.5,DRAMA
2011.0,0.0,Movie,"Olivier Nakache, Éric Toledano, Philippe Pozzo di Borgo",The Intouchables,Olivier Nakache,1,1,8.5,COMEDY
2017.0,0.0,Series,"David Lynch, Mark Frost",Twin Peaks,David Lynch,1,1,8.5,CRIME
2017.0,0.0,Series,Steve Lightfoot,Marvels The Punisher,Steve Lightfoot,1,1,8.5,ACTION
2018.0,1.0,Series,Christian Einshøj,Haunted,Christian Einshøj,1,1,8.5,DOCUMENTARY
2013.0,0.0,Series,Bryan Fuller,Hannibal,Bryan Fuller,1,1,8.5,THRILLER
2018.0,0.0,Movie,Bruce Springsteen,Springsteen on Broadway,Bruce Springsteen,1,1,8.5,DOCUMENTARY
2017.0,0.0,Series,"David Lynch, Mark Frost",Twin Peaks,David Lynch,1,1,8.5,DRAMA
2010.0,0.0,Series,Steven S. DeKnight,Spartacus,Steven S. DeKnight,1,1,8.5,ACTION
