Year,Original,Series or Movie,Films,Rating,Genre
2015.0,0.0,Movie,301,6.394352159468439,DRAMA
2015.0,0.0,Series,87,7.319540229885057,DRAMA
2015.0,1.0,Movie,4,7.3,DRAMA
2015.0,1.0,Series,6,8.266666666666667,DRAMA
2016.0,0.0,Movie,384,6.461458333333333,DRAMA
2016.0,0.0,Series,118,7.5423728813559325,DRAMA
2016.0,1.0,Movie,12,5.958333333333333,DRAMA
2016.0,1.0,Series,13,7.361538461538462,DRAMA
2017.0,0.0,Movie,487,6.349897330595483,DRAMA
2017.0,0.0,Series,114,7.088596491228071,DRAMA
2017.0,1.0,Movie,17,6.311764705882353,DRAMA
2017.0,1.0,Series,18,7.688888888888889,DRAMA
2018.0,0.0,Movie,460,6.395434782608696,DRAMA
2018.0,0.0,Series,128,7.37265625,DRAMA
2018.0,1.0,Movie,44,6.215909090909091,DRAMA
2018.0,1.0,Series,30,7.2733333333333325,DRAMA
2019.0,0.0,Movie,380,6.271315789473684,DRAMA
2019.0,0.0,Series,138,7.256521739130434,DRAMA
2019.0,1.0,Movie,47,6.276595744680851,DRAMA
2019.0,1.0,Series,33,7.190909090909091,DRAMA
2020.0,0.0,Movie,174,5.99080459770115,DRAMA
2020.0,0.0,Series,123,7.00650406504065,DRAMA
2020.0,1.0,Movie,58,6.153448275862068,DRAMA
2020.0,1.0,Series,1,7.9,DRAMA
2021.0,0.0,Movie,15,6.253333333333333,DRAMA
2021.0,0.0,Series,9,6.977777777777778,DRAMA
2021.0,1.0,Movie,2,7.15,DRAMA
2010.0,0.0,Movie,36,6.272222222222222,FAMILY
2010.0,0.0,Series,15,6.886666666666667,FAMILY
2011.0,0.0,Movie,41,6.370731707317073,FAMILY
2011.0,0.0,Series,9,6.611111111111111,FAMILY
2011.0,1.0,Series,1,6.6,FAMILY
2012.0,0.0,Movie,36,6.230555555555556,FAMILY
2012.0,0.0,Series,14,6.871428571428572,FAMILY
2012.0,1.0,Series,1,8.0,FAMILY
2013.0,0.0,Movie,51,6.176470588235294,FAMILY
2013.0,0.0,Series,15,5.973333333333333,FAMILY
2013.0,1.0,Series,2,7.3,FAMILY
2014.0,0.0,Movie,43,6.018604651162791,FAMILY
2014.0,0.0,Series,21,6.699999999999999,FAMILY
2014.0,1.0,Movie,2,6.6,FAMILY
2014.0,1.0,Series,2,5.85,FAMILY
2015.0,0.0,Movie,64,6.1328125,FAMILY
